t(mins)	x1	x2	x3
0	0.342	0.352	0.358
0.332	0.363	0.358	0.365
1.069	0.367	0.362	0.37
1.806	0.371	0.366	0.373
2.542	0.375	0.37	0.376
3.279	0.379	0.373	0.379
4.015	0.382	0.377	0.382
4.751	0.384	0.38	0.384
5.487	0.387	0.383	0.386
6.223	0.388	0.384	0.389
6.959	0.391	0.387	0.39
7.695	0.394	0.389	0.392
8.43	0.397	0.391	0.394
9.165	0.397	0.392	0.394
9.9	0.397	0.393	0.395
10.635	0.398	0.395	0.396
11.371	0.399	0.395	0.396
12.106	0.399	0.396	0.397
12.841	0.399	0.396	0.397
13.649	0.4	0.396	0.397
14.384	0.4	0.397	0.398
15.046	0.4	0.397	0.398
15.78	0.4	0.398	0.399
16.515	0.4	0.398	0.399
17.25	0.4	0.398	0.399
